utterance_idx,ut_len,Empathy,Talker,Negative_score,Neutral_score,Positivity_score,Happy,Fear,Sad,Bored,Angry,Excited,news,query,spam,marketing,feedback,complaint,suggestion,appreciation,IMPACT,EDUCATION,POLITICS,ENTERTAINMENT,TASTE,SPORTS,HEALTHY LIVING,GREEN,BUSINESS,WORLDPOST,TECH,SCIENCE,ARTS & CULTURE,CRIME,TRAVEL,RELIGION,context_encoded
1,95,5,1,0.275,0.437,0.287,0.155295802,0.4464744761,0.1470191662,0.0219080765,0.0440912977,0.1852111815,0.087,0.072,0.311,0.052,0.477,0.11,0.035,0.855,0.4104728103,0.199958995,0.1853818595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
2,32,5,2,0.005,0.056,0.939,0.4874999949,0.1634848596,0.0349955947,0.038619849,0.0883550096,0.1870446923,0.028,0.112,0.368,0.065,0.426,0.001,0.003,0.996,0.1847059429,0.0,0.1410384923,0.3719808459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
3,119,5,1,0.031,0.122,0.847,0.3395521848,0.1985780095,0.0398050366,0.0131736383,0.0568077244,0.3520834064,0.005,0.013,0.354,0.011,0.616,0.003,0.002,0.995,0.3348067403,0.0,0.3560346365,0.1984399706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
4,61,5,2,0.572,0.383,0.046,0.2318156633,0.2339460298,0.1769579945,0.1286743476,0.1211754311,0.1074305336,0.018,0.145,0.313,0.01,0.514,0.409,0.313,0.278,0.1707850993,0.0,0.6219481826,0.1123252288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
1,30,3,1,0.018,0.232,0.75,0.4695486472,0.173305568,0.0350587229,0.0159803472,0.0277583428,0.2783483719,0.012,0.037,0.452,0.196,0.304,0.0,0.0,0.0,0.0904188827,0.0,0.0,0.2484655529,0.5549823046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
2,25,3,2,0.094,0.289,0.618,0.2060567378,0.3276974279,0.1386471658,0.0761631158,0.1136859258,0.1377496268,0.002,0.017,0.697,0.038,0.246,0.0,0.0,0.0,0.0579655543,0.0,0.4420489073,0.3602903187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
3,74,3,1,0.068,0.257,0.675,0.3096870635,0.3670458639,0.1421886331,0.0,0.0529626035,0.1281158359,0.012,0.433,0.088,0.178,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0332672261,0.9485203624,0.0052519972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
4,17,3,2,0.054,0.355,0.59,0.0809893031,0.3584745976,0.2684731509,0.1060419323,0.1268149944,0.0592060217,0.0,0.899,0.061,0.005,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.4210355282,0.2150419503,0.0,0.1339397579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
1,37,4,1,0.959,0.039,0.002,0.0072134782,0.1890020831,0.4557321622,0.0078380216,0.3306889643,0.0095252906,0.005,0.591,0.121,0.002,0.281,0.0,0.0,0.0,0.6606384516,0.0,0.0857464224,0.0,0.0,0.0,0.2227148861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2,49,4,2,0.13,0.84,0.03,0.0445974125,0.4920215456,0.3408287452,0.0171437109,0.0714620944,0.0339464914,0.0,0.924,0.06,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0267004408,0.878933847,0.0,0.040981926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3,49,4,1,0.99,0.01,0.001,0.0052812882,0.1380645619,0.2371104932,0.0426567972,0.5727045238,0.0041823357,0.001,0.14,0.183,0.002,0.674,0.99,0.003,0.006,0.6604534984,0.0,0.0,0.2367550284,0.0,0.0,0.0283833556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
4,56,4,2,0.262,0.643,0.094,0.2345562199,0.142208633,0.5109879204,0.0176789753,0.0340607496,0.0605075018,0.008,0.316,0.088,0.013,0.575,0.076,0.65,0.275,0.0694997385,0.0,0.2854555547,0.3979517221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1,29,4,1,0.132,0.605,0.264,0.1374355841,0.2865253151,0.192623719,0.0592639604,0.0611530796,0.2629983419,0.017,0.033,0.751,0.018,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.380091697,0.1520890594,0.0,0.0,0.1994366795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
2,16,4,2,0.111,0.887,0.002,0.0317129896,0.3308723075,0.3636803393,0.0984933051,0.097273806,0.0779672525,0.0,0.946,0.046,0.0,0.008,0.0,0.0,0.0,0.6882063746,0.0,0.2561457455,0.0331320539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
3,53,4,1,0.035,0.196,0.769,0.4236411152,0.1955511991,0.0173130699,0.0180895854,0.0327428768,0.3126621536,0.029,0.01,0.334,0.063,0.564,0.006,0.01,0.985,0.0553299151,0.0,0.4760375619,0.3201053739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
4,44,4,2,0.75,0.213,0.036,0.1187894214,0.2629892333,0.1876317124,0.0654051105,0.2946829733,0.0705015491,0.004,0.251,0.272,0.011,0.461,0.312,0.033,0.655,0.4779534042,0.0,0.1071992293,0.3095835149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
1,49,4,1,0.127,0.748,0.125,0.1205788399,0.3477087945,0.2182637209,0.0516354318,0.0538125392,0.2080006737,0.031,0.041,0.666,0.056,0.206,0.0,0.0,0.0,0.3244332671,0.5754697919,0.0,0.0,0.0,0.0,0.0,0.0,0.0319412053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
2,51,4,2,0.009,0.053,0.938,0.4672316023,0.1404253714,0.0527207414,0.0,0.0762688422,0.2633534428,0.055,0.081,0.215,0.143,0.506,0.005,0.029,0.966,0.1268801093,0.0,0.0,0.1874168068,0.0,0.0,0.0,0.0,0.4041187167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
3,68,4,1,0.279,0.391,0.33,0.2221974964,0.1296515987,0.0790760086,0.1191126769,0.0875158355,0.3624463839,0.047,0.155,0.093,0.028,0.677,0.061,0.04,0.899,0.103165701,0.0,0.6510062218,0.1846229434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
4,86,4,2,0.088,0.333,0.579,0.4447044371,0.0842551054,0.0565427895,0.027200948,0.0846888596,0.3026078604,0.017,0.055,0.153,0.091,0.684,0.031,0.245,0.724,0.3772889674,0.0,0.0690647736,0.0,0.0,0.0,0.0,0.0,0.4120693505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
1,111,1,1,0.116,0.215,0.669,0.1271208111,0.4453324971,0.1694867918,0.0178764631,0.0257156258,0.2144678112,0.005,0.03,0.586,0.011,0.368,0.0,0.0,0.0,0.9033610225,0.0,0.0,0.0,0.0,0.0,0.0864926279,0.0,0.0,0.003727935,0.0,0.0,0.0,0.0,0.0,0.0,29
2,15,1,2,0.002,0.059,0.939,0.3538280211,0.1799114796,0.0986312976,0.0129925979,0.0267689736,0.3278676303,0.001,0.002,0.457,0.018,0.523,0.0,0.006,0.994,0.3485298455,0.0,0.1323161572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3502259851,0.0,0.0,0.0,0.0,0.0,29
3,90,1,1,0.056,0.275,0.669,0.154318811,0.2002885267,0.1712631212,0.0,0.3004650978,0.1736644433,0.026,0.035,0.538,0.061,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.8481330872,0.0,0.0374253802,0.0,0.0,0.0,0.0727800727,0.0,0.0,0.0,0.0,0.0,0.0,29
4,27,1,2,0.059,0.156,0.785,0.1269965789,0.1245924975,0.3175171958,0.0255979842,0.3213693765,0.0839263672,0.012,0.023,0.465,0.084,0.416,0.0,0.0,0.0,0.2490964085,0.1540756524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3861483634,0.0,0.0,0.0,0.0,0.0,29
1,45,3,1,0.814,0.156,0.03,0.0225463732,0.1848579296,0.309734741,0.0665128028,0.3924274247,0.0239207286,0.008,0.18,0.153,0.015,0.644,0.641,0.065,0.294,0.0807124451,0.0,0.1165090948,0.7493900657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
2,44,3,2,0.881,0.113,0.006,0.0109195671,0.1353043084,0.3158603045,0.1066092751,0.4185989648,0.0127075801,0.009,0.266,0.278,0.005,0.442,0.884,0.084,0.032,0.2560577095,0.0,0.0,0.2225758135,0.0,0.0,0.2019639015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
3,79,3,1,0.354,0.613,0.033,0.0665541161,0.2824605428,0.1513724478,0.1071929518,0.2883196673,0.1041002742,0.004,0.276,0.361,0.003,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.625015676,0.0,0.0,0.1849770993,0.0,0.0,0.0,0.0,0.1010658592,0.0,0.0,0.0,0.0,27
4,41,3,2,0.901,0.09,0.01,0.0743189939,0.1463147216,0.2495596267,0.1386023264,0.3003097483,0.090894583,0.035,0.12,0.364,0.011,0.47,0.769,0.11,0.121,0.1004898623,0.0,0.0,0.4150785506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1783187836,0.0,0.0,0.0,27
