@relation 'Empathyabase-1tst-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst,36,37,38'

@attribute utterance_idx {1,2,3,4,5,6,8}
@attribute ut_len numeric
@attribute Negative_score numeric
@attribute Neutral_score numeric
@attribute Positivity_score numeric
@attribute Happy numeric
@attribute Fear numeric
@attribute Sad numeric
@attribute Bored numeric
@attribute Angry numeric
@attribute Excited numeric
@attribute news numeric
@attribute query numeric
@attribute spam numeric
@attribute marketing numeric
@attribute feedback numeric
@attribute complaint numeric
@attribute suggestion numeric
@attribute appreciation numeric
@attribute IMPACT numeric
@attribute EDUCATION numeric
@attribute POLITICS numeric
@attribute ENTERTAINMENT numeric
@attribute TASTE numeric
@attribute SPORTS numeric
@attribute HEALTHYLIVING numeric
@attribute GREEN numeric
@attribute BUSINESS numeric
@attribute WORLDPOST numeric
@attribute TECH numeric
@attribute SCIENCE numeric
@attribute ARTS&CULTURE numeric
@attribute CRIME numeric
@attribute TRAVEL numeric
@attribute RELIGION numeric
@attribute Talker {1,2}
@attribute context_encoded {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@attribute Empathy {1,2,3,4,5}

@data
3,119,0.031,0.122,0.847,0.339552,0.198578,0.039805,0.013174,0.056808,0.352083,0.005,0.013,0.354,0.011,0.616,0.003,0.002,0.995,0.334807,0,0.356035,0.19844,0,0,0,0,0,0,0,0,0,0,0,0,1,29,5
4,56,0.262,0.643,0.094,0.234556,0.142209,0.510988,0.017679,0.034061,0.060508,0.008,0.316,0.088,0.013,0.575,0.076,0.65,0.275,0.0695,0,0.285456,0.397952,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
1,111,0.116,0.215,0.669,0.127121,0.445332,0.169487,0.017876,0.025716,0.214468,0.005,0.03,0.586,0.011,0.368,0,0,0,0.903361,0,0,0,0,0,0.086493,0,0,0.003728,0,0,0,0,0,0,1,29,1
3,90,0.056,0.275,0.669,0.154319,0.200289,0.171263,0,0.300465,0.173664,0.026,0.035,0.538,0.061,0.34,0,0,0,0,0,0,0.848133,0,0.037425,0,0,0,0.07278,0,0,0,0,0,0,1,29,1
2,14,0.777,0.222,0.001,0.071399,0.181809,0.447866,0.081305,0.129025,0.088597,0.001,0.532,0.3,0,0.167,0,0,0,0.179508,0,0.373039,0.204816,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4
8,29,0.566,0.421,0.013,0.016756,0.174055,0.740683,0.020948,0.040041,0.007518,0.001,0.165,0.08,0.001,0.753,0.415,0.375,0.209,0.365068,0,0.370355,0.152577,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4
4,69,0.019,0.138,0.843,0.449913,0.191569,0.039513,0.009236,0.040348,0.269421,0.04,0.055,0.18,0.118,0.607,0.001,0.01,0.989,0.584322,0,0,0.282688,0,0.06346,0,0,0,0,0,0,0,0,0,0,2,4,4
4,61,0.898,0.097,0.005,0.051155,0.263922,0.247225,0.108277,0.251073,0.078349,0.006,0.694,0.124,0.002,0.173,0,0,0,0,0,0,0.196097,0,0,0,0,0,0,0.021219,0.729956,0,0,0,0,2,15,3
4,28,0.274,0.626,0.1,0.172327,0.262679,0.420244,0.032809,0.029865,0.082076,0.004,0.115,0.112,0.001,0.768,0.086,0.257,0.657,0.182461,0,0.09865,0.524712,0,0,0,0,0,0,0,0,0,0,0,0,2,23,2
4,36,0.393,0.594,0.013,0.012885,0.391458,0.453689,0.027287,0.098835,0.015846,0.001,0.712,0.25,0.001,0.037,0,0,0,0.012193,0,0.00872,0.974607,0,0,0,0,0,0,0,0,0,0,0,0,2,16,5
1,55,0.356,0.529,0.115,0.01359,0.713599,0.221331,0.011583,0.024229,0.015669,0.016,0.261,0.223,0.002,0.497,0.72,0.099,0.181,0,0,0.038738,0.066673,0,0,0,0,0.799704,0,0,0,0,0,0,0,1,9,5
4,61,0.519,0.159,0.322,0.09114,0.158856,0.240075,0.06314,0.353437,0.093353,0.01,0.072,0.307,0.037,0.573,0.125,0.009,0.866,0.127958,0,0.097652,0.453266,0,0,0,0,0,0,0,0,0,0,0,0,2,9,5
1,69,0.102,0.275,0.624,0.169773,0.271343,0.166954,0.042067,0.134842,0.215021,0.016,0.232,0.134,0.173,0.445,0.103,0.194,0.703,0.721264,0.047949,0,0.056484,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
6,44,0.065,0.699,0.235,0.120759,0.285837,0.295484,0.092783,0.120956,0.084181,0.014,0.404,0.318,0.032,0.232,0,0,0,0,0,0,0.012422,0,0,0,0,0,0.000181,0,0,0.986993,0,0,0,2,24,4
1,65,0.985,0.014,0.001,0.011904,0.172934,0.42416,0.022583,0.352744,0.015675,0.004,0.851,0.031,0.001,0.112,0,0,0,0,0,0.167691,0.348343,0,0,0,0,0.155176,0,0,0,0,0,0,0,1,11,4
2,116,0.284,0.552,0.164,0.385222,0.19025,0.117467,0.063005,0.059988,0.184068,0.014,0.285,0.089,0.035,0.576,0.05,0.905,0.045,0.190285,0,0.467767,0,0,0,0,0,0,0,0.223698,0,0,0,0,0,2,23,5
2,35,0.424,0.554,0.022,0.029503,0.268152,0.615783,0.02302,0.048704,0.014838,0.001,0.125,0.295,0.001,0.579,0.333,0.287,0.38,0.058513,0,0.200262,0.61189,0,0,0,0,0,0,0,0,0,0,0,0,2,23,4
2,37,0.22,0.679,0.1,0.113406,0.290284,0.12328,0.196531,0.185267,0.091232,0.001,0.888,0.052,0.008,0.052,0,0,0,0.575201,0,0.084352,0.198117,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3
4,16,0.038,0.183,0.779,0.296271,0.231339,0.109212,0.088803,0.076953,0.197421,0.004,0.035,0.542,0.201,0.218,0,0,0,0.188567,0,0.54979,0,0,0,0.057634,0,0,0,0,0,0,0,0,0,2,22,3
2,79,0.483,0.432,0.085,0.090738,0.07781,0.026526,0.683541,0.04034,0.081045,0.004,0.153,0.417,0.011,0.415,0,0,0,0.278043,0,0,0.485655,0,0,0.168998,0,0,0,0,0,0,0,0,0,2,8,5
2,44,0.746,0.245,0.009,0.023659,0.746366,0.123066,0.008233,0.063063,0.035613,0.005,0.206,0.466,0.003,0.32,0,0,0,0.032606,0,0.031888,0.909651,0,0,0,0,0,0,0,0,0,0,0,0,2,30,4
1,36,0.034,0.207,0.758,0.259411,0.184016,0.055064,0.009534,0.042025,0.44995,0.018,0.022,0.228,0.11,0.622,0.006,0.017,0.977,0.905641,0,0,0,0,0,0.066708,0,0.014752,0,0,0,0,0,0,0,1,26,4
1,56,0.8,0.157,0.043,0.08536,0.138759,0.195207,0.042956,0.479056,0.058662,0.005,0.407,0.262,0.003,0.323,0,0,0,0.626561,0,0,0.115496,0,0,0.17299,0,0,0,0,0,0,0,0,0,1,2,3
1,51,0.029,0.425,0.546,0.285974,0.345208,0.054251,0.018506,0.027152,0.268909,0.044,0.082,0.325,0.221,0.329,0.045,0.227,0.728,0.223838,0,0.352882,0.209478,0,0,0,0,0,0,0,0,0,0,0,0,1,19,5
3,84,0.625,0.329,0.046,0.082746,0.252391,0.327881,0.060196,0.205312,0.071474,0.001,0.491,0.289,0.008,0.211,0,0,0,0.892843,0,0.021386,0,0,0,0,0,0,0.021058,0,0,0,0,0,0,1,19,5
4,77,0.371,0.483,0.146,0.170642,0.379126,0.220327,0.029143,0.142352,0.05841,0.008,0.456,0.176,0.041,0.318,0,0,0,0.037231,0,0.104274,0.764397,0,0,0,0,0,0,0,0,0,0,0,0,2,30,4
6,59,0.031,0.216,0.752,0.183571,0.026098,0.003827,0.008082,0.111775,0.666646,0.233,0.018,0.071,0.262,0.417,0.015,0.625,0.36,0.043752,0,0,0,0,0,0.950434,0,0.002389,0,0,0,0,0,0,0,2,30,4
3,89,0.13,0.389,0.481,0.299196,0.080649,0.055483,0.074928,0.030508,0.459237,0.016,0.011,0.29,0.157,0.526,0.025,0.048,0.927,0,0,0,0.110113,0,0,0.576125,0,0.174373,0,0,0,0,0,0,0,1,8,4
1,38,0.097,0.734,0.169,0.0769,0.137026,0.589851,0.032587,0.101513,0.062123,0.001,0.063,0.589,0.007,0.34,0,0,0,0.338264,0,0,0.256036,0,0.331171,0,0,0,0,0,0,0,0,0,0,1,21,3
4,81,0.533,0.271,0.196,0.121608,0.302794,0.282869,0.052323,0.145032,0.095374,0.048,0.287,0.168,0.055,0.443,0.189,0.068,0.742,0.913564,0.012389,0,0.049418,0,0,0,0,0,0,0,0,0,0,0,0,2,16,3
2,55,0.555,0.405,0.04,0.137384,0.243599,0.43528,0.053754,0.071089,0.058893,0.003,0.237,0.21,0.01,0.54,0.418,0.249,0.332,0.199813,0,0.274787,0.424383,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4
1,141,0.64,0.253,0.107,0.088742,0.186808,0.151547,0.047485,0.364401,0.161018,0.019,0.014,0.446,0.006,0.515,0.403,0.069,0.528,0.013937,0,0,0.938492,0,0,0,0,0.020977,0,0,0,0,0,0,0,1,3,3
2,75,0.706,0.281,0.013,0.04899,0.124859,0.167164,0.127241,0.470045,0.061703,0.01,0.704,0.105,0.002,0.179,0,0,0,0,0,0,0.59955,0,0.08102,0,0,0.105336,0,0,0,0,0,0,0,2,3,3
3,63,0.939,0.057,0.005,0.059896,0.144674,0.631931,0.013528,0.117193,0.032778,0.004,0.547,0.126,0.002,0.321,0,0,0,0.720543,0,0,0.073867,0,0,0.090009,0,0,0,0,0,0,0,0,0,1,16,3
4,29,0.411,0.577,0.012,0.025095,0.19564,0.425777,0.059393,0.248651,0.045444,0.001,0.936,0.049,0,0.015,0,0,0,0.487468,0,0,0.34756,0,0,0,0,0.068729,0,0,0,0,0,0,0,2,16,3
5,46,0.55,0.38,0.07,0.081253,0.07618,0.10485,0.135871,0.490441,0.111405,0.008,0.163,0.361,0.004,0.464,0.748,0.134,0.118,0.455826,0,0.026631,0.456359,0,0,0,0,0,0,0,0,0,0,0,0,1,16,3
4,15,0.033,0.11,0.857,0.183075,0.116623,0.061141,0.038176,0.069975,0.531009,0.001,0.002,0.771,0.078,0.147,0,0,0,0,0,0.279481,0.649992,0,0,0,0,0,0.021603,0,0,0,0,0,0,2,20,4
6,169,0.879,0.115,0.006,0.034132,0.263467,0.500914,0.056714,0.108674,0.0361,0.008,0.66,0.062,0.003,0.267,0,0,0,0.240973,0.021044,0,0,0,0,0.713472,0,0,0,0,0,0,0,0,0,2,12,5
1,54,0.033,0.127,0.84,0.328653,0.168615,0.013788,0.004211,0.041526,0.443207,0.004,0.002,0.141,0.075,0.778,0.001,0.001,0.998,0.941587,0,0,0.01509,0,0,0,0,0,0,0,0,0.016005,0,0,0,1,26,3
1,90,0.239,0.131,0.63,0.465141,0.156532,0.02955,0.021992,0.069255,0.25753,0.014,0.027,0.212,0.041,0.706,0.049,0.024,0.928,0.31035,0,0,0.295156,0.349655,0,0,0,0,0,0,0,0,0,0,0,1,9,4
3,76,0.087,0.36,0.553,0.531962,0.134512,0.117041,0.013209,0.033367,0.169908,0.017,0.035,0.241,0.059,0.648,0.004,0.006,0.99,0,0,0,0.653455,0.064261,0,0.096275,0,0,0,0,0,0,0,0,0,1,9,4
1,100,0.777,0.211,0.012,0.01149,0.53464,0.240395,0.039361,0.133778,0.040336,0.036,0.038,0.521,0,0.404,0,0,0,0,0,0,0.045424,0,0,0,0.938868,0,0,0,0.007755,0,0,0,0,1,0,4
2,46,0.115,0.515,0.371,0.216595,0.329456,0.127645,0.054267,0.072917,0.19912,0.003,0.826,0.068,0.018,0.085,0,0,0,0,0,0.056988,0.163137,0,0.733865,0,0,0,0,0,0,0,0,0,0,2,20,5
6,62,0.084,0.334,0.582,0.500983,0.178285,0.085606,0,0.073743,0.161383,0.005,0.179,0.262,0.033,0.52,0.011,0.243,0.746,0.172153,0,0.015188,0,0,0.78583,0,0,0,0,0,0,0,0,0,0,2,20,5
1,61,0.58,0.365,0.055,0.040822,0.326429,0.424598,0.069227,0.106543,0.032381,0.002,0.107,0.314,0.011,0.566,0.665,0.099,0.237,0.62512,0,0.076961,0.106506,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3
4,24,0.291,0.698,0.011,0.070362,0.373103,0.323913,0.085344,0.056467,0.09081,0,0.978,0.013,0,0.009,0,0,0,0.246416,0,0.449366,0.129738,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3
1,156,0.71,0.251,0.038,0.061062,0.262036,0.230841,0.065297,0.245345,0.135419,0.032,0.237,0.42,0.014,0.297,0,0,0,0.73807,0,0,0,0,0,0.129129,0,0.034976,0,0,0,0,0,0,0,1,1,4
2,116,0.836,0.152,0.013,0.042614,0.469166,0.211532,0.0078,0.120081,0.148806,0.029,0.286,0.16,0.008,0.516,0.434,0.51,0.055,0,0,0,0.618953,0,0,0.105619,0,0,0,0.065186,0,0,0,0,0,2,0,4
3,21,0.162,0.681,0.156,0.315354,0.198646,0.107299,0.093031,0.103303,0.182367,0.001,0.049,0.265,0.005,0.681,0.034,0.136,0.831,0.685472,0,0.128457,0.073779,0,0,0,0,0,0,0,0,0,0,0,0,1,31,3
