@relation 'Empathyabase-5tst-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst,36,37,38'

@attribute utterance_idx {1,2,3,4,5,6,7,8}
@attribute ut_len numeric
@attribute Negative_score numeric
@attribute Neutral_score numeric
@attribute Positivity_score numeric
@attribute Happy numeric
@attribute Fear numeric
@attribute Sad numeric
@attribute Bored numeric
@attribute Angry numeric
@attribute Excited numeric
@attribute news numeric
@attribute query numeric
@attribute spam numeric
@attribute marketing numeric
@attribute feedback numeric
@attribute complaint numeric
@attribute suggestion numeric
@attribute appreciation numeric
@attribute IMPACT numeric
@attribute EDUCATION numeric
@attribute POLITICS numeric
@attribute ENTERTAINMENT numeric
@attribute TASTE numeric
@attribute SPORTS numeric
@attribute HEALTHYLIVING numeric
@attribute GREEN numeric
@attribute BUSINESS numeric
@attribute WORLDPOST numeric
@attribute TECH numeric
@attribute SCIENCE numeric
@attribute ARTS&CULTURE numeric
@attribute CRIME numeric
@attribute TRAVEL numeric
@attribute RELIGION numeric
@attribute Talker {1,2}
@attribute context_encoded {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@attribute Empathy {1,2,3,4,5}

@data
1,95,0.275,0.437,0.287,0.155296,0.446474,0.147019,0.021908,0.044091,0.185211,0.087,0.072,0.311,0.052,0.477,0.11,0.035,0.855,0.410473,0.199959,0.185382,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,5
1,37,0.959,0.039,0.002,0.007213,0.189002,0.455732,0.007838,0.330689,0.009525,0.005,0.591,0.121,0.002,0.281,0,0,0,0.660638,0,0.085746,0,0,0,0.222715,0,0,0,0,0,0,0,0,0,1,2,4
4,44,0.75,0.213,0.036,0.118789,0.262989,0.187632,0.065405,0.294683,0.070502,0.004,0.251,0.272,0.011,0.461,0.312,0.033,0.655,0.477953,0,0.107199,0.309584,0,0,0,0,0,0,0,0,0,0,0,0,2,14,4
2,51,0.009,0.053,0.938,0.467232,0.140425,0.052721,0,0.076269,0.263353,0.055,0.081,0.215,0.143,0.506,0.005,0.029,0.966,0.12688,0,0,0.187417,0,0,0,0,0.404119,0,0,0,0,0,0,0,2,26,4
3,79,0.354,0.613,0.033,0.066554,0.282461,0.151372,0.107193,0.28832,0.1041,0.004,0.276,0.361,0.003,0.355,0,0,0,0,0,0,0.625016,0,0,0.184977,0,0,0,0,0.101066,0,0,0,0,1,27,3
2,38,0.981,0.019,0,0.001402,0.59815,0.235284,0.00734,0.154098,0.003725,0.005,0.094,0.179,0,0.721,0.97,0.019,0.011,0.054393,0,0.110141,0.793489,0,0,0,0,0,0,0,0,0,0,0,0,2,12,4
3,35,0.755,0.235,0.01,0.02446,0.609548,0.162728,0.019466,0.166697,0.017102,0.002,0.052,0.362,0.001,0.583,0.654,0.074,0.272,0,0,0.250893,0.35909,0,0.172646,0,0,0,0,0,0,0,0,0,0,1,12,4
4,32,0.922,0.073,0.005,0.018949,0.606605,0.240774,0.015904,0.096257,0.021512,0.019,0.273,0.196,0.004,0.508,0.771,0.163,0.066,0.117515,0,0.282859,0.311098,0,0,0,0,0,0,0,0,0,0,0,0,2,12,4
1,120,0.948,0.048,0.004,0.045411,0.324402,0.525309,0.009126,0.05067,0.045082,0.002,0.04,0.102,0,0.855,0.92,0.014,0.066,0.674995,0,0,0.044524,0,0,0,0,0,0.218379,0,0,0,0,0,0,1,6,4
6,20,0.875,0.124,0.001,0.060192,0.19711,0.451564,0.103803,0.112058,0.075273,0.003,0.882,0.069,0,0.045,0,0,0,0.289384,0,0.607349,0,0,0,0,0,0,0,0,0,0,0.020971,0,0,2,6,4
7,60,0.658,0.259,0.083,0.198229,0.255327,0.273502,0.064473,0.086248,0.122221,0.059,0.093,0.187,0.009,0.652,0.449,0.029,0.522,0,0,0.100407,0.639047,0,0,0,0,0,0,0,0,0,0,0.073049,0,1,6,4
1,36,0.989,0.009,0.002,0.007419,0.10197,0.305429,0.023538,0.55074,0.010903,0.007,0.454,0.115,0.005,0.42,0,0,0,0.230351,0,0,0.675177,0,0,0,0,0,0,0,0,0.067914,0,0,0,1,16,2
3,128,0.114,0.22,0.667,0.317528,0.124403,0.082373,0.057347,0.103584,0.314766,0.046,0.108,0.282,0.069,0.495,0.089,0.07,0.841,0.926005,0,0,0.015706,0,0.037189,0,0,0,0,0,0,0,0,0,0,1,4,4
5,51,0.094,0.357,0.549,0.287652,0.356409,0.078226,0.020634,0.091055,0.166025,0.001,0.081,0.168,0.06,0.689,0.053,0.164,0.783,0.744322,0,0,0.042308,0,0,0.117567,0,0,0,0,0,0,0,0,0,1,4,4
2,59,0.881,0.107,0.012,0.011673,0.25842,0.281401,0.037509,0.400288,0.010709,0.013,0.02,0.139,0.002,0.826,0.843,0.057,0.1,0.202675,0,0.212432,0,0,0,0.393878,0,0,0,0,0,0,0,0,0,2,12,4
3,95,0.92,0.075,0.005,0.025159,0.545897,0.277634,0.020875,0.076385,0.054051,0.015,0.166,0.193,0.004,0.621,0.798,0.145,0.058,0,0,0.121018,0.791161,0,0.016901,0,0,0,0,0,0,0,0,0,0,1,15,3
1,47,0.964,0.035,0.001,0.004295,0.149572,0.788845,0.023988,0.02794,0.005361,0.001,0.033,0.255,0.001,0.71,0.969,0.005,0.026,0.693042,0,0,0,0,0,0.243995,0,0,0,0,0,0.026843,0,0,0,1,23,2
5,106,0.125,0.419,0.456,0.479308,0.12074,0.089475,0.038937,0.077926,0.193613,0.022,0.027,0.344,0.012,0.596,0.031,0.021,0.949,0.486761,0,0,0.098013,0,0,0.305012,0,0,0,0,0,0,0,0,0,1,31,5
1,49,0.071,0.535,0.394,0.167032,0.440112,0.181297,0.01437,0.096852,0.100338,0.005,0.031,0.449,0.002,0.513,0.028,0.011,0.961,0.982528,0,0,0.011033,0,0,0.003397,0,0,0,0,0,0,0,0,0,1,22,4
3,82,0.082,0.391,0.527,0.36606,0.149165,0.050704,0.152755,0.044308,0.237007,0.003,0.022,0.151,0.063,0.76,0.016,0.053,0.932,0.572145,0,0,0.263464,0,0,0,0,0.061106,0,0,0,0,0,0,0,1,9,5
4,54,0.038,0.425,0.537,0.281634,0.135051,0.067784,0.076927,0.093159,0.345445,0.036,0.023,0.437,0.267,0.238,0,0,0,0.36067,0,0.022884,0.568942,0,0,0,0,0,0,0,0,0,0,0,0,2,28,3
4,27,0.287,0.414,0.3,0.063825,0.152471,0.323539,0.023864,0.37029,0.066012,0.001,0.139,0.213,0.008,0.639,0.136,0.14,0.724,0.271931,0,0.025361,0.670796,0,0,0,0,0,0,0,0,0,0,0,0,2,31,3
1,75,0.685,0.209,0.106,0.029046,0.297087,0.298404,0.101175,0.184547,0.089742,0.016,0.14,0.289,0.043,0.511,0.606,0.064,0.33,0.95929,0,0,0.012457,0,0,0,0,0,0,0,0,0,0.010542,0,0,1,17,4
2,50,0.167,0.531,0.302,0.365865,0.152538,0.142991,0.071171,0.178727,0.088708,0.009,0.313,0.268,0.014,0.396,0.043,0.09,0.867,0.152862,0,0,0.426041,0,0.203016,0,0,0,0,0,0,0,0,0,0,2,17,4
4,81,0.426,0.319,0.256,0.147785,0.140624,0.143308,0.15582,0.209554,0.202908,0.046,0.089,0.17,0.086,0.609,0.242,0.381,0.377,0,0,0.558928,0.105628,0,0.080205,0,0,0,0,0,0,0,0,0,0,2,17,4
2,63,0.123,0.304,0.573,0.243284,0.224854,0.104588,0.025398,0.204822,0.197054,0.077,0.19,0.203,0.112,0.417,0.075,0.209,0.716,0.048419,0,0,0.790067,0,0.055799,0,0,0,0,0,0,0,0,0,0,2,3,4
3,54,0.176,0.28,0.545,0.258427,0.135789,0.113729,0.083445,0.108805,0.299805,0.067,0.08,0.173,0.162,0.518,0.031,0.128,0.841,0.46041,0,0.252902,0,0,0,0.134413,0,0,0,0,0,0,0,0,0,1,3,4
2,27,0.065,0.924,0.011,0.064979,0.350219,0.277986,0.123057,0.081079,0.102679,0,0.933,0.045,0,0.022,0,0,0,0.408699,0,0,0.08472,0,0,0,0,0,0,0,0,0.148069,0,0,0,2,24,4
3,146,0.047,0.436,0.518,0.584042,0.101781,0.024589,0.039763,0.041773,0.208053,0.01,0.046,0.224,0.121,0.6,0.017,0.084,0.899,0.261815,0,0,0.14885,0,0,0,0,0,0,0.245305,0,0,0,0,0,1,22,3
1,50,0.095,0.261,0.644,0.271239,0.088879,0.031372,0.02838,0.074215,0.505914,0.036,0.013,0.338,0.233,0.38,0.019,0.08,0.901,0.154541,0.055505,0,0.750644,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4
3,55,0.27,0.434,0.297,0.175552,0.165873,0.110561,0.050369,0.223364,0.274281,0.009,0.192,0.123,0.043,0.633,0.213,0.196,0.592,0.881988,0.039626,0.023114,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4
5,30,0.096,0.642,0.262,0.236145,0.223348,0.128155,0.063233,0.067393,0.281727,0.004,0.053,0.492,0.023,0.428,0,0,0,0.634042,0,0.108805,0.186594,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4
2,41,0.379,0.463,0.157,0.498391,0.186497,0.014523,0.020835,0.035662,0.244092,0.002,0.014,0.701,0.006,0.277,0,0,0,0.462534,0,0.255688,0.214138,0,0,0,0,0,0,0,0,0,0,0,0,2,12,2
4,17,0.148,0.632,0.22,0.203298,0.108811,0.098619,0.152392,0.093776,0.343104,0.041,0.079,0.327,0.026,0.527,0.166,0.075,0.759,0.112665,0,0.176926,0.23611,0,0,0,0,0,0,0,0,0,0,0,0,2,12,2
2,31,0.018,0.14,0.843,0.36264,0.328804,0.067584,0,0.051254,0.189718,0.002,0.318,0.234,0.068,0.377,0.003,0.003,0.993,0.059445,0,0,0.850933,0,0.069417,0,0,0,0,0,0,0,0,0,0,2,19,5
4,113,0.699,0.176,0.126,0.346384,0.103294,0.124372,0.043301,0.11099,0.27166,0.022,0.16,0.064,0.019,0.735,0.195,0.277,0.527,0.207355,0,0,0.509151,0,0,0.157441,0,0,0,0,0,0,0,0,0,2,19,5
7,40,0.39,0.544,0.066,0.086654,0.224313,0.325346,0.169772,0.102077,0.091839,0.002,0.2,0.299,0.007,0.492,0.706,0.077,0.216,0.461412,0.17408,0,0.110616,0,0,0,0,0,0,0,0,0,0,0,0,1,30,4
4,70,0.133,0.173,0.695,0.365235,0.192875,0.189725,0,0.04987,0.202296,0.008,0.178,0.196,0.05,0.568,0.017,0.004,0.979,0.510825,0,0,0.323717,0,0,0.076253,0,0,0,0,0,0,0,0,0,2,8,4
1,86,0.03,0.094,0.876,0.343676,0.108176,0.037362,0.009097,0.012579,0.489109,0.014,0.005,0.221,0.116,0.645,0.003,0.002,0.995,0.777461,0.153603,0,0,0,0,0.042552,0,0,0,0,0,0,0,0,0,1,17,4
4,191,0.907,0.083,0.01,0.043192,0.164297,0.385547,0.182495,0.181225,0.043243,0.013,0.51,0.188,0.005,0.284,0,0,0,0.055491,0,0,0.018285,0,0,0,0.90154,0,0,0,0,0,0,0,0,2,1,4
1,134,0.969,0.029,0.002,0.015426,0.264997,0.580433,0.03639,0.072609,0.030144,0.001,0.118,0.196,0.001,0.684,0.929,0.01,0.061,0.996582,0.001111,0,0,0,0,0,0,0,0.000717,0,0,0,0,0,0,1,18,3
3,218,0.746,0.178,0.076,0.038198,0.303401,0.466752,0.037554,0.103464,0.050632,0.021,0.235,0.108,0.014,0.622,0.888,0.043,0.069,0.151789,0,0,0.758901,0,0,0,0,0.033246,0,0,0,0,0,0,0,1,3,3
4,81,0.541,0.385,0.074,0.089714,0.228632,0.455211,0.046759,0.126043,0.05364,0.022,0.097,0.214,0.018,0.65,0.497,0.17,0.333,0.874158,0,0.057252,0,0,0,0,0,0.033654,0,0,0,0,0,0,0,2,3,3
1,73,0.809,0.112,0.079,0.073709,0.131581,0.342026,0.067917,0.285875,0.098893,0.018,0.354,0.326,0.013,0.288,0,0,0,0.973764,0,0.010048,0.00886,0,0,0,0,0,0,0,0,0,0,0,0,1,16,3
3,85,0.079,0.563,0.358,0.236185,0.197461,0.111316,0.133569,0.079096,0.242373,0.062,0.028,0.34,0.074,0.496,0.046,0.536,0.419,0,0,0,0.082996,0,0.816596,0,0,0,0.03586,0,0,0,0,0,0,1,20,4
1,48,0.118,0.419,0.463,0.31648,0.243987,0.22248,0.041484,0.074016,0.101553,0.005,0.04,0.663,0.011,0.281,0,0,0,0.574684,0,0.083564,0.2307,0,0,0,0,0,0,0,0,0,0,0,0,1,12,5
3,115,0.634,0.299,0.067,0.106268,0.215724,0.39548,0.018238,0.178838,0.085452,0.075,0.078,0.257,0.026,0.565,0.378,0.167,0.454,0.289131,0,0,0.081895,0.539636,0,0,0,0,0,0,0,0,0,0,0,1,12,5
7,35,0.095,0.589,0.315,0.177919,0.21238,0.220412,0.073056,0.172931,0.143302,0.016,0.039,0.623,0.04,0.282,0,0,0,0.407805,0,0.483785,0,0,0.028078,0,0,0,0,0,0,0,0,0,0,1,12,5
2,38,0.318,0.675,0.007,0.112695,0.166144,0.251088,0.137058,0.244375,0.088641,0,0.951,0.029,0,0.019,0,0,0,0.295323,0,0,0.216437,0,0,0.222939,0,0,0,0,0,0,0,0,0,2,2,4
4,61,0.059,0.311,0.63,0.138533,0.10392,0.02396,0.0278,0.064802,0.640985,0.017,0.097,0.454,0.049,0.383,0,0,0,0.304518,0,0.360761,0.181506,0,0,0,0,0,0,0,0,0,0,0,0,2,18,5
3,58,0.092,0.206,0.702,0.518905,0.102653,0.049573,0.023276,0.023948,0.281645,0.005,0.009,0.238,0.005,0.743,0.004,0.004,0.992,0.127861,0,0.110971,0.698612,0,0,0,0,0,0,0,0,0,0,0,0,1,29,4
1,100,0.321,0.469,0.21,0.1053,0.239971,0.363715,0.067066,0.053666,0.170281,0.003,0.007,0.851,0.004,0.134,0,0,0,0.408723,0,0,0.429977,0,0,0.078916,0,0,0,0,0,0,0,0,0,1,29,4
3,83,0.288,0.243,0.469,0.176888,0.305032,0.175971,0.024557,0.046998,0.270553,0.013,0.027,0.46,0.004,0.496,0.027,0.007,0.966,0.386757,0,0.179329,0.290146,0,0,0,0,0,0,0,0,0,0,0,0,1,29,4
