utterance_idx,ut_len,Negative_score,Neutral_score,Positivity_score,Happy,Fear,Sad,Bored,Angry,Excited,news,query,spam,marketing,feedback,complaint,suggestion,appreciation,IMPACT,EDUCATION,POLITICS,ENTERTAINMENT,TASTE,SPORTS,HEALTHYLIVING,GREEN,BUSINESS,WORLDPOST,TECH,SCIENCE,ARTS&CULTURE,CRIME,TRAVEL,RELIGION,Talker,context_encoded,Empathy
1,95,0.275,0.437,0.287,0.155295802,0.446474476,0.147019166,0.021908077,0.044091298,0.185211182,0.087,0.072,0.311,0.052,0.477,0.11,0.035,0.855,0.41047281,0.199958995,0.18538186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,29,5
2,32,0.005,0.056,0.939,0.487499995,0.16348486,0.034995595,0.038619849,0.08835501,0.187044692,0.028,0.112,0.368,0.065,0.426,0.001,0.003,0.996,0.184705943,0.0,0.141038492,0.371980846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,29,5
4,61,0.572,0.383,0.046,0.231815663,0.23394603,0.176957995,0.128674348,0.121175431,0.107430534,0.018,0.145,0.313,0.01,0.514,0.409,0.313,0.278,0.170785099,0.0,0.621948183,0.112325229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,29,5
1,30,0.018,0.232,0.75,0.469548647,0.173305568,0.035058723,0.015980347,0.027758343,0.278348372,0.012,0.037,0.452,0.196,0.304,0.0,0.0,0.0,0.090418883,0.0,0.0,0.248465553,0.554982305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,22,3
2,25,0.094,0.289,0.618,0.206056738,0.327697428,0.138647166,0.076163116,0.113685926,0.137749627,0.002,0.017,0.697,0.038,0.246,0.0,0.0,0.0,0.057965554,0.0,0.442048907,0.360290319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,22,3
3,74,0.068,0.257,0.675,0.309687064,0.367045864,0.142188633,0.0,0.052962604,0.128115836,0.012,0.433,0.088,0.178,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.033267226,0.948520362,0.005251997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,22,3
4,17,0.054,0.355,0.59,0.080989303,0.358474598,0.268473151,0.106041932,0.126814994,0.059206022,0.0,0.899,0.061,0.005,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.421035528,0.21504195,0.0,0.133939758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,22,3
1,37,0.959,0.039,0.002,0.007213478,0.189002083,0.455732162,0.007838022,0.330688964,0.009525291,0.005,0.591,0.121,0.002,0.281,0.0,0.0,0.0,0.660638452,0.0,0.085746422,0.0,0.0,0.0,0.222714886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,4
2,49,0.13,0.84,0.03,0.044597413,0.492021546,0.340828745,0.017143711,0.071462094,0.033946491,0.0,0.924,0.06,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.026700441,0.878933847,0.0,0.040981926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,4
3,49,0.99,0.01,0.001,0.005281288,0.138064562,0.237110493,0.042656797,0.572704524,0.004182336,0.001,0.14,0.183,0.002,0.674,0.99,0.003,0.006,0.660453498,0.0,0.0,0.236755028,0.0,0.0,0.028383356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,4
