utterance_idx,ut_len,Negative_score,Neutral_score,Positivity_score,Happy,Fear,Sad,Bored,Angry,Excited,news,query,spam,marketing,feedback,complaint,suggestion,appreciation,IMPACT,EDUCATION,POLITICS,ENTERTAINMENT,TASTE,SPORTS,HEALTHYLIVING,GREEN,BUSINESS,WORLDPOST,TECH,SCIENCE,ARTS&CULTURE,CRIME,TRAVEL,RELIGION,Talker,context_encoded,Empathy
2,32,0.005,0.056,0.939,0.487499995,0.16348486,0.034995595,0.038619849,0.08835501,0.187044692,0.028,0.112,0.368,0.065,0.426,0.001,0.003,0.996,0.184705943,0.0,0.141038492,0.371980846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,29,5
4,61,0.572,0.383,0.046,0.231815663,0.23394603,0.176957995,0.128674348,0.121175431,0.107430534,0.018,0.145,0.313,0.01,0.514,0.409,0.313,0.278,0.170785099,0.0,0.621948183,0.112325229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,29,5
2,25,0.094,0.289,0.618,0.206056738,0.327697428,0.138647166,0.076163116,0.113685926,0.137749627,0.002,0.017,0.697,0.038,0.246,0.0,0.0,0.0,0.057965554,0.0,0.442048907,0.360290319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,22,3
2,49,0.13,0.84,0.03,0.044597413,0.492021546,0.340828745,0.017143711,0.071462094,0.033946491,0.0,0.924,0.06,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.026700441,0.878933847,0.0,0.040981926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,4
3,49,0.99,0.01,0.001,0.005281288,0.138064562,0.237110493,0.042656797,0.572704524,0.004182336,0.001,0.14,0.183,0.002,0.674,0.99,0.003,0.006,0.660453498,0.0,0.0,0.236755028,0.0,0.0,0.028383356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,4
3,68,0.279,0.391,0.33,0.222197496,0.129651599,0.079076009,0.119112677,0.087515836,0.362446384,0.047,0.155,0.093,0.028,0.677,0.061,0.04,0.899,0.103165701,0.0,0.651006222,0.184622943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,26,4
4,86,0.088,0.333,0.579,0.444704437,0.084255105,0.05654279,0.027200948,0.08468886,0.30260786,0.017,0.055,0.153,0.091,0.684,0.031,0.245,0.724,0.377288967,0.0,0.069064774,0.0,0.0,0.0,0.0,0.0,0.412069351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,26,4
2,15,0.002,0.059,0.939,0.353828021,0.17991148,0.098631298,0.012992598,0.026768974,0.32786763,0.001,0.002,0.457,0.018,0.523,0.0,0.006,0.994,0.348529846,0.0,0.132316157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.350225985,0.0,0.0,0.0,0.0,0.0,2,29,1
2,44,0.881,0.113,0.006,0.010919567,0.135304308,0.315860305,0.106609275,0.418598965,0.01270758,0.009,0.266,0.278,0.005,0.442,0.884,0.084,0.032,0.25605771,0.0,0.0,0.222575814,0.0,0.0,0.201963902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,27,3
1,38,0.084,0.634,0.282,0.198249966,0.466035678,0.178121119,0.016321221,0.055970442,0.085301575,0.015,0.043,0.582,0.007,0.352,0.0,0.0,0.0,0.725262404,0.0,0.0,0.093472138,0.112013616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12,4
5,81,0.167,0.408,0.426,0.180916543,0.243087173,0.219402568,0.027361211,0.114047924,0.215184582,0.124,0.071,0.215,0.016,0.573,0.068,0.018,0.913,0.510088742,0.0,0.0,0.217224628,0.0,0.0,0.07245259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,4
3,43,0.204,0.586,0.21,0.118485888,0.265179257,0.391467603,0.048354089,0.11011501,0.066398154,0.0,0.873,0.027,0.0,0.1,0.0,0.0,0.0,0.242537811,0.0,0.143366665,0.384554237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16,2
2,76,0.224,0.598,0.178,0.19224195,0.294428207,0.184156715,0.060726603,0.14111564,0.127330886,0.002,0.65,0.217,0.004,0.127,0.0,0.0,0.0,0.880562663,0.0,0.0,0.034737181,0.0,0.0,0.022374367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,4
1,102,0.976,0.023,0.001,0.002548901,0.391474989,0.304737907,0.005176586,0.28754428,0.008517338,0.009,0.092,0.195,0.001,0.704,0.975,0.013,0.013,0.047663774,0.0,0.0,0.835257411,0.059473861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12,4
2,20,0.418,0.578,0.004,0.018839585,0.236842659,0.442343897,0.130064077,0.117618452,0.054291331,0.0,0.884,0.072,0.0,0.043,0.0,0.0,0.0,0.128655136,0.0,0.466973633,0.305299342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,28,3
4,100,0.835,0.143,0.021,0.018685059,0.357706146,0.432133738,0.023500565,0.076480085,0.091494407,0.018,0.129,0.299,0.002,0.552,0.763,0.026,0.211,0.544662058,0.0,0.140779048,0.0,0.0,0.0,0.304292887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,28,3
5,18,0.189,0.805,0.006,0.015875895,0.331822048,0.560469659,0.018961391,0.061544915,0.011326093,0.0,0.731,0.235,0.0,0.033,0.0,0.0,0.0,0.028948866,0.0,0.111797996,0.795105815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,28,3
6,33,0.685,0.238,0.078,0.077312252,0.144949625,0.153723307,0.154850365,0.273222049,0.195942402,0.018,0.132,0.193,0.024,0.632,0.615,0.129,0.255,0.482356846,0.0,0.16339311,0.0,0.0,0.0,0.14619875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,28,3
1,126,0.245,0.316,0.439,0.192030821,0.258049296,0.170374597,0.021023504,0.108966639,0.249555142,0.003,0.016,0.229,0.004,0.748,0.127,0.154,0.718,0.682110727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052754968,0.0,0.0,0.0,0.0,0.0,0.178969964,1,15,3
2,75,0.709,0.229,0.061,0.085544392,0.176360189,0.094127896,0.202763386,0.382841657,0.05836248,0.012,0.198,0.171,0.019,0.601,0.66,0.26,0.079,0.01767493,0.0,0.034694161,0.907807529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,15,3
5,55,0.092,0.286,0.623,0.312973007,0.170444426,0.043739489,0.04736995,0.039645394,0.385827735,0.013,0.015,0.16,0.023,0.789,0.009,0.01,0.98,0.534211993,0.0,0.127811447,0.165301874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15,3
3,125,0.143,0.422,0.435,0.459465384,0.188569665,0.116862103,0.020922923,0.039744416,0.17443551,0.009,0.027,0.301,0.011,0.652,0.011,0.008,0.981,0.898010671,0.0,0.0,0.037333243,0.0,0.0,0.033271629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,31,5
4,69,0.692,0.122,0.186,0.167887807,0.254364641,0.207725644,0.036085033,0.164811973,0.169124902,0.019,0.033,0.278,0.013,0.657,0.1,0.006,0.894,0.306949556,0.0,0.0,0.363986462,0.095789082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,31,5
7,126,0.144,0.464,0.392,0.364653423,0.145877408,0.075738794,0.0,0.129281536,0.284448839,0.021,0.049,0.337,0.024,0.57,0.065,0.072,0.863,0.619021118,0.0,0.0,0.285231173,0.0,0.0,0.0,0.0,0.040313628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,31,5
4,67,0.012,0.12,0.868,0.510625721,0.124682434,0.061458658,0.018535928,0.080782372,0.203914889,0.025,0.057,0.352,0.106,0.46,0.003,0.109,0.888,0.870467126,0.0,0.0,0.111854956,0.0,0.0,0.0,0.0,0.0,0.0,0.004823121,0.0,0.0,0.0,0.0,0.0,2,22,4
2,49,0.364,0.541,0.095,0.190193585,0.237829012,0.259545375,0.094375269,0.099809538,0.118247223,0.007,0.196,0.558,0.002,0.237,0.0,0.0,0.0,0.375437617,0.0,0.0,0.270368636,0.0,0.201896116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,16,5
3,85,0.962,0.033,0.004,0.019262524,0.107139808,0.330277372,0.043213777,0.464669656,0.035436863,0.004,0.192,0.285,0.003,0.517,0.966,0.005,0.029,0.301826656,0.0,0.466279239,0.0,0.0,0.06739746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16,5
6,34,0.012,0.102,0.886,0.69665818,0.084700382,0.037997497,0.00887465,0.058271769,0.11349752,0.007,0.028,0.484,0.056,0.424,0.0,0.0,0.0,0.305468351,0.0,0.231938362,0.415391594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,16,5
1,74,0.05,0.461,0.489,0.409839873,0.154636866,0.088613229,0.058297996,0.048136782,0.240475254,0.007,0.071,0.477,0.048,0.397,0.0,0.0,0.0,0.407977581,0.0,0.0,0.123649873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365840942,0.0,1,31,3
2,32,0.087,0.606,0.307,0.428792965,0.153125956,0.256945278,0.005317519,0.025423077,0.130395205,0.001,0.032,0.293,0.001,0.672,0.014,0.164,0.822,0.206999451,0.0,0.089818984,0.583632469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,31,3
4,43,0.075,0.101,0.824,0.472261899,0.117780914,0.042990669,0.117183019,0.11023415,0.139549349,0.007,0.021,0.252,0.05,0.669,0.001,0.008,0.991,0.124905817,0.0,0.081333242,0.594010651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,24,4
