utterance_idx,ut_len,Negative_score,Neutral_score,Positivity_score,Happy,Fear,Sad,Bored,Angry,Excited,news,query,spam,marketing,feedback,complaint,suggestion,appreciation,IMPACT,EDUCATION,POLITICS,ENTERTAINMENT,TASTE,SPORTS,HEALTHYLIVING,GREEN,BUSINESS,WORLDPOST,TECH,SCIENCE,ARTS&CULTURE,CRIME,TRAVEL,RELIGION,Talker,context_encoded,Empathy,,,
3,119,0.031,0.122,0.847,0.339552185,0.19857801,0.039805037,0.013173638,0.056807724,0.352083406,0.005,0.013,0.354,0.011,0.616,0.003,0.002,0.995,0.33480674,0,0.356034637,0.198439971,0,0,0,0,0,0,0,0,0,0,0,0,1,29,5,,CLASS,COUNT
4,56,0.262,0.643,0.094,0.23455622,0.142208633,0.51098792,0.017678975,0.03406075,0.060507502,0.008,0.316,0.088,0.013,0.575,0.076,0.65,0.275,0.069499739,0,0.285455555,0.397951722,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,,1,5
1,111,0.116,0.215,0.669,0.127120811,0.445332497,0.169486792,0.017876463,0.025715626,0.214467811,0.005,0.03,0.586,0.011,0.368,0,0,0,0.903361023,0,0,0,0,0,0.086492628,0,0,0.003727935,0,0,0,0,0,0,1,29,1,,2,29
3,90,0.056,0.275,0.669,0.154318811,0.200288527,0.171263121,0,0.300465098,0.173664443,0.026,0.035,0.538,0.061,0.34,0,0,0,0,0,0,0.848133087,0,0.03742538,0,0,0,0.072780073,0,0,0,0,0,0,1,29,1,,3,107
2,14,0.777,0.222,0.001,0.071398604,0.181808621,0.447866148,0.081305003,0.12902503,0.088596595,0.001,0.532,0.3,0,0.167,0,0,0,0.179508358,0,0.373038977,0.204816461,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,,4,167
8,29,0.566,0.421,0.013,0.016755799,0.174054705,0.740683082,0.020947582,0.040040597,0.007518236,0.001,0.165,0.08,0.001,0.753,0.415,0.375,0.209,0.365067542,0,0.370355308,0.152576596,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,,5,35
4,69,0.019,0.138,0.843,0.449912563,0.191569059,0.039513153,0.009236119,0.040348457,0.269420651,0.04,0.055,0.18,0.118,0.607,0.001,0.01,0.989,0.584322453,0,0,0.282687634,0,0.063459694,0,0,0,0,0,0,0,0,0,0,2,4,4,,,
4,61,0.898,0.097,0.005,0.051154674,0.263922161,0.247224709,0.108276663,0.251072763,0.078349031,0.006,0.694,0.124,0.002,0.173,0,0,0,0,0,0,0.196097225,0,0,0,0,0,0,0.021218514,0.72995621,0,0,0,0,2,15,3,,,
4,28,0.274,0.626,0.1,0.172327186,0.262678561,0.420244467,0.032808931,0.029865205,0.08207565,0.004,0.115,0.112,0.001,0.768,0.086,0.257,0.657,0.182460919,0,0.098649949,0.524712265,0,0,0,0,0,0,0,0,0,0,0,0,2,23,2,,,
4,36,0.393,0.594,0.013,0.012884746,0.391458478,0.453689408,0.027286627,0.098834978,0.015845763,0.001,0.712,0.25,0.001,0.037,0,0,0,0.012192803,0,0.00871986,0.974607408,0,0,0,0,0,0,0,0,0,0,0,0,2,16,5,,,
1,55,0.356,0.529,0.115,0.013589733,0.713598622,0.221330631,0.011582947,0.024228971,0.015669096,0.016,0.261,0.223,0.002,0.497,0.72,0.099,0.181,0,0,0.038737565,0.066673398,0,0,0,0,0.799703836,0,0,0,0,0,0,0,1,9,5,,,
4,61,0.519,0.159,0.322,0.091139697,0.158856393,0.24007484,0.063139611,0.353436925,0.093352533,0.01,0.072,0.307,0.037,0.573,0.125,0.009,0.866,0.127957985,0,0.097651683,0.453266412,0,0,0,0,0,0,0,0,0,0,0,0,2,9,5,,,
1,69,0.102,0.275,0.624,0.169773448,0.271342513,0.166953765,0.042067385,0.134842372,0.215020517,0.016,0.232,0.134,0.173,0.445,0.103,0.194,0.703,0.721264482,0.047949277,0,0.056484241,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,,,
6,44,0.065,0.699,0.235,0.120758912,0.285836782,0.295483766,0.092783482,0.120956419,0.084180639,0.014,0.404,0.318,0.032,0.232,0,0,0,0,0,0,0.012422284,0,0,0,0,0,1.81E-04,0,0,0.986992836,0,0,0,2,24,4,,,
1,65,0.985,0.014,0.001,0.011904329,0.172934093,0.424159636,0.022583271,0.352744099,0.015674572,0.004,0.851,0.031,0.001,0.112,0,0,0,0,0,0.167691484,0.348343402,0,0,0,0,0.155176148,0,0,0,0,0,0,0,1,11,4,,,
2,116,0.284,0.552,0.164,0.385221722,0.190249904,0.117467467,0.063004629,0.059987982,0.184068296,0.014,0.285,0.089,0.035,0.576,0.05,0.905,0.045,0.190285459,0,0.467767388,0,0,0,0,0,0,0,0.223698244,0,0,0,0,0,2,23,5,,,
2,35,0.424,0.554,0.022,0.029502749,0.268152491,0.615783249,0.023020051,0.048703723,0.014837738,0.001,0.125,0.295,0.001,0.579,0.333,0.287,0.38,0.058512721,0,0.200261846,0.611890316,0,0,0,0,0,0,0,0,0,0,0,0,2,23,4,,,
2,37,0.22,0.679,0.1,0.113406384,0.290284105,0.12327968,0.196530903,0.185266915,0.091232014,0.001,0.888,0.052,0.008,0.052,0,0,0,0.575200558,0,0.084352404,0.198117092,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,,,
4,16,0.038,0.183,0.779,0.296271227,0.231339197,0.10921186,0.088802859,0.076953415,0.197421442,0.004,0.035,0.542,0.201,0.218,0,0,0,0.188567147,0,0.549789965,0,0,0,0.057633854,0,0,0,0,0,0,0,0,0,2,22,3,,,
2,79,0.483,0.432,0.085,0.090737901,0.077810436,0.026525917,0.683541132,0.040339582,0.081045033,0.004,0.153,0.417,0.011,0.415,0,0,0,0.278043121,0,0,0.485654712,0,0,0.168998316,0,0,0,0,0,0,0,0,0,2,8,5,,,
2,44,0.746,0.245,0.009,0.023659286,0.746366014,0.123065706,0.008233114,0.063063264,0.035612616,0.005,0.206,0.466,0.003,0.32,0,0,0,0.032605939,0,0.031888235,0.909651041,0,0,0,0,0,0,0,0,0,0,0,0,2,30,4,,,
1,36,0.034,0.207,0.758,0.259411283,0.184016249,0.055063976,0.009533585,0.042024843,0.449950065,0.018,0.022,0.228,0.11,0.622,0.006,0.017,0.977,0.905640543,0,0,0,0,0,0.066708207,0,0.014751832,0,0,0,0,0,0,0,1,26,4,,,
1,56,0.8,0.157,0.043,0.085360294,0.138758532,0.195206764,0.042956263,0.479055851,0.058662296,0.005,0.407,0.262,0.003,0.323,0,0,0,0.626561046,0,0,0.115496121,0,0,0.172989577,0,0,0,0,0,0,0,0,0,1,2,3,,,
1,51,0.029,0.425,0.546,0.285973971,0.345208459,0.054250734,0.018505556,0.02715237,0.26890891,0.044,0.082,0.325,0.221,0.329,0.045,0.227,0.728,0.223837987,0,0.352882236,0.209477618,0,0,0,0,0,0,0,0,0,0,0,0,1,19,5,,,
3,84,0.625,0.329,0.046,0.082745742,0.252390518,0.327880932,0.060196245,0.205312372,0.071474192,0.001,0.491,0.289,0.008,0.211,0,0,0,0.892843187,0,0.021386473,0,0,0,0,0,0,0.021058025,0,0,0,0,0,0,1,19,5,,,
4,77,0.371,0.483,0.146,0.170641733,0.379126435,0.220327177,0.029142663,0.142352192,0.058409799,0.008,0.456,0.176,0.041,0.318,0,0,0,0.037231445,0,0.104274035,0.764397323,0,0,0,0,0,0,0,0,0,0,0,0,2,30,4,,,
6,59,0.031,0.216,0.752,0.183570564,0.026098365,0.003827284,0.00808243,0.111775152,0.666646205,0.233,0.018,0.071,0.262,0.417,0.015,0.625,0.36,0.043751996,0,0,0,0,0,0.950433612,0,0.002389248,0,0,0,0,0,0,0,2,30,4,,,
3,89,0.13,0.389,0.481,0.299195991,0.080648538,0.055482749,0.074927904,0.030507736,0.459237083,0.016,0.011,0.29,0.157,0.526,0.025,0.048,0.927,0,0,0,0.110112533,0,0,0.576124787,0,0.17437315,0,0,0,0,0,0,0,1,8,4,,,
1,38,0.097,0.734,0.169,0.076899672,0.137025739,0.589851296,0.032587401,0.101512682,0.06212321,0.001,0.063,0.589,0.007,0.34,0,0,0,0.338263959,0,0,0.256035566,0,0.331171364,0,0,0,0,0,0,0,0,0,0,1,21,3,,,
4,81,0.533,0.271,0.196,0.121607945,0.302793999,0.282868949,0.052322947,0.145032492,0.095373667,0.048,0.287,0.168,0.055,0.443,0.189,0.068,0.742,0.913563848,0.012389373,0,0.049418166,0,0,0,0,0,0,0,0,0,0,0,0,2,16,3,,,
2,55,0.555,0.405,0.04,0.137384353,0.243599138,0.435279932,0.053754301,0.071089449,0.058892828,0.003,0.237,0.21,0.01,0.54,0.418,0.249,0.332,0.199812755,0,0.274786651,0.424383342,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,,,
1,141,0.64,0.253,0.107,0.088741688,0.18680839,0.151546529,0.047485072,0.364400663,0.161017658,0.019,0.014,0.446,0.006,0.515,0.403,0.069,0.528,0.013936916,0,0,0.938492358,0,0,0,0,0.020976836,0,0,0,0,0,0,0,1,3,3,,,
2,75,0.706,0.281,0.013,0.048989592,0.12485852,0.167163534,0.127240996,0.470044835,0.061702524,0.01,0.704,0.105,0.002,0.179,0,0,0,0,0,0,0.59954989,0,0.08101967,0,0,0.105336145,0,0,0,0,0,0,0,2,3,3,,,
3,63,0.939,0.057,0.005,0.059896026,0.14467392,0.631930804,0.013527778,0.117193243,0.032778229,0.004,0.547,0.126,0.002,0.321,0,0,0,0.720542908,0,0,0.073866904,0,0,0.090009064,0,0,0,0,0,0,0,0,0,1,16,3,,,
4,29,0.411,0.577,0.012,0.025095112,0.195640433,0.425777091,0.059393108,0.248650518,0.045443738,0.001,0.936,0.049,0,0.015,0,0,0,0.487468183,0,0,0.347560108,0,0,0,0,0.068728983,0,0,0,0,0,0,0,2,16,3,,,
5,46,0.55,0.38,0.07,0.081252671,0.076179797,0.104850108,0.135871017,0.490441038,0.111405369,0.008,0.163,0.361,0.004,0.464,0.748,0.134,0.118,0.455826193,0,0.026631337,0.456358731,0,0,0,0,0,0,0,0,0,0,0,0,1,16,3,,,
4,15,0.033,0.11,0.857,0.18307482,0.116623297,0.061141465,0.038176051,0.069975252,0.531009115,0.001,0.002,0.771,0.078,0.147,0,0,0,0,0,0.279481351,0.649991751,0,0,0,0,0,0.021602772,0,0,0,0,0,0,2,20,4,,,
6,169,0.879,0.115,0.006,0.034131766,0.26346675,0.500913544,0.056714414,0.108673523,0.036100003,0.008,0.66,0.062,0.003,0.267,0,0,0,0.240972966,0.021044279,0,0,0,0,0.713471532,0,0,0,0,0,0,0,0,0,2,12,5,,,
1,54,0.033,0.127,0.84,0.328652651,0.16861492,0.013787693,0.004211454,0.041526259,0.443207024,0.004,0.002,0.141,0.075,0.778,0.001,0.001,0.998,0.941586912,0,0,0.015090473,0,0,0,0,0,0,0,0,0.016005296,0,0,0,1,26,3,,,
1,90,0.239,0.131,0.63,0.46514145,0.156531946,0.029550021,0.021991695,0.06925488,0.257530009,0.014,0.027,0.212,0.041,0.706,0.049,0.024,0.928,0.310350388,0,0,0.295156479,0.349654645,0,0,0,0,0,0,0,0,0,0,0,1,9,4,,,
3,76,0.087,0.36,0.553,0.531961621,0.134512411,0.117041353,0.013208999,0.033367198,0.169908418,0.017,0.035,0.241,0.059,0.648,0.004,0.006,0.99,0,0,0,0.653454781,0.06426122,0,0.096275151,0,0,0,0,0,0,0,0,0,1,9,4,,,
1,100,0.777,0.211,0.012,0.011489991,0.534640219,0.240395155,0.039361084,0.133778011,0.04033554,0.036,0.038,0.521,0,0.404,0,0,0,0,0,0,0.045423914,0,0,0,0.938867569,0,0,0,0.007754904,0,0,0,0,1,0,4,,,
2,46,0.115,0.515,0.371,0.216595241,0.329455802,0.127645062,0.054267133,0.072916584,0.199120179,0.003,0.826,0.068,0.018,0.085,0,0,0,0,0,0.056988329,0.163137123,0,0.733864963,0,0,0,0,0,0,0,0,0,0,2,20,5,,,
6,62,0.084,0.334,0.582,0.500982878,0.17828548,0.085605662,0,0.073742973,0.161383007,0.005,0.179,0.262,0.033,0.52,0.011,0.243,0.746,0.172152981,0,0.015187634,0,0,0.785829842,0,0,0,0,0,0,0,0,0,0,2,20,5,,,
1,61,0.58,0.365,0.055,0.040821546,0.326429383,0.424598148,0.069227375,0.106542789,0.03238076,0.002,0.107,0.314,0.011,0.566,0.665,0.099,0.237,0.625120401,0,0.07696116,0.106505975,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,,,
4,24,0.291,0.698,0.011,0.07036181,0.373103267,0.32391326,0.085344177,0.05646718,0.090810306,0,0.978,0.013,0,0.009,0,0,0,0.246415615,0,0.449365646,0.129737899,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,,,
